Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-04-15 17:39:06,false,"Washington Running","2.01","137","00:16:29","146","164","2.5","180","198","8:13","6:50","123","122","1.09","0.0","0.0","0.0","0.0","0.0","16:29","0:00","0.0","0:00","No","00:03.14","3","0.0"
Running,2020-04-14 18:49:39,false,"Washington Running","4.01","222","00:33:33","133","160","2.2","173","196","8:23","6:13","242","240","1.11","0.0","0.0","0.0","0.0","0.0","33:33","0:00","0.0","0:00","No","00:03.15","5","0.0"
Running,2020-04-12 15:38:39,false,"Washington Running","2.00","134","00:17:01","144","179","2.3","175","194","8:29","7:18","118","118","1.08","0.0","0.0","0.0","0.0","0.0","17:01","0:00","0.0","0:00","No","00:01.70","3","0.0"
Running,2020-04-11 20:46:51,false,"Washington Running","4.01","280","00:35:32","148","162","3.0","176","192","8:52","7:33","211","198","1.03","0.0","0.0","0.0","0.0","0.0","35:32","0:00","0.0","0:00","No","00:03.08","5","0.0"
Running,2020-04-10 18:23:11,false,"Washington Running","2.00","125","00:17:17","139","160","2.2","177","197","8:37","7:39","135","136","1.06","0.0","0.0","0.0","0.0","0.0","17:17","0:00","0.0","0:00","No","00:02.08","3","0.0"
Running,2020-04-09 18:18:42,false,"Washington Running","4.01","335","00:35:37","166","189","4.1","174","198","8:53","7:42","240","237","1.04","0.0","0.0","0.0","0.0","0.0","35:37","0:00","0.0","0:00","No","00:04.85","5","0.0"
Running,2020-04-06 06:06:08,false,"Washington Running","2.01","154","00:18:39","147","161","2.7","176","194","9:18","8:11","132","114","0.98","0.0","0.0","0.0","0.0","0.0","18:39","0:00","0.0","0:00","No","00:03.08","3","0.0"
Running,2020-04-05 18:00:32,false,"Washington Running","4.01","319","00:37:21","152","175","3.4","170","186","9:19","7:19","260","220","1.02","0.0","0.0","0.0","0.0","0.0","37:21","0:00","0.0","0:00","No","00:02.64","5","0.0"
Running,2020-04-03 16:39:19,false,"Washington Running","2.01","137","00:17:55","140","160","2.3","175","194","8:55","7:30","134","133","1.03","0.0","0.0","0.0","0.0","0.0","17:55","0:00","0.0","0:00","No","00:03.37","3","0.0"
Running,2020-04-02 12:53:12,false,"Washington Running","4.01","255","00:35:49","137","169","2.6","175","227","8:56","7:49","235","234","1.03","0.0","0.0","0.0","0.0","0.0","35:49","0:00","0.0","0:00","No","00:03.77","5","0.0"
Running,2020-04-01 06:38:00,false,"Washington Running","2.01","145","00:18:16","143","161","2.5","175","202","9:06","7:59","128","125","1.01","0.0","0.0","0.0","0.0","0.0","18:16","0:00","0.0","0:00","No","00:02.79","3","0.0"
Running,2020-03-31 06:48:55,false,"Washington Running","4.01","280","00:36:11","144","174","3.1","173","220","9:02","8:09","204","203","1.03","0.0","0.0","0.0","0.0","0.0","36:11","0:00","0.0","0:00","No","00:03.51","5","0.0"
Running,2020-03-25 16:42:30,false,"Washington Running","3.26","254","00:30:02","150","180","3.3","173","196","9:12","7:45","156","151","1.01","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","02:25.07","4","0.0"
Running,2020-03-24 06:58:00,false,"Washington Running","3.35","235","00:30:03","144","174","3.0","174","194","8:58","7:58","207","200","1.03","0.0","0.0","0.0","0.0","0.0","30:03","0:00","0.0","0:00","No","03:00.91","4","0.0"
Running,2020-03-22 18:48:05,false,"Washington - 5k","3.13","208","00:28:10","140","160","2.7","173","195","8:59","7:41","197","190","1.03","0.0","0.0","0.0","0.0","0.0","28:10","0:00","0.0","0:00","No","00:07.22","5","0.0"
Running,2020-03-20 06:00:36,false,"Washington Running","3.33","220","00:30:02","140","161","2.8","172","194","9:02","7:45","222","217","1.04","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","02:55.51","4","0.0"
Running,2020-03-18 17:25:17,false,"Washington Running","3.37","272","00:30:04","160","197","3.7","175","202","8:55","7:30","205","202","1.04","0.0","0.0","0.0","0.0","0.0","30:04","0:00","0.0","0:00","No","03:13.68","4","0.0"
Running,2020-03-16 17:25:26,false,"Washington Running","3.17","238","00:30:02","145","174","3.1","171","240","9:28","8:30","220","225","0.99","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","01:36.31","4","0.0"
Running,2020-03-14 08:50:22,false,"Washington Running","3.30","235","00:30:05","144","160","2.9","175","195","9:07","8:07","169","164","1.01","0.0","0.0","0.0","0.0","0.0","30:05","0:00","0.0","0:00","No","02:34.40","4","0.0"
Running,2020-03-12 10:23:51,false,"Washington Running","3.33","231","00:30:02","144","158","2.8","174","193","9:01","8:20","198","186","1.03","0.0","0.0","0.0","0.0","0.0","30:02","0:00","0.0","0:00","No","02:53.88","4","0.0"
Running,2020-03-09 05:37:27,false,"Washington Running","3.30","234","00:30:03","145","164","3.0","174","207","9:06","7:53","190","173","1.01","0.0","0.0","0.0","0.0","0.0","30:03","0:00","0.0","0:00","No","02:39.05","4","0.0"
